****                   ADMIXTURE Version 1.4.0                  ****
****                    Copyright 2008-2025                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John Novembre, Ken Lange                    ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at https://dalexander.github.io/admixture/   ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 8 threads.
Random seed: 1259
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 14466x148419
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 10.352	Loglikelihood: -2.13997e+09	(delta): 1.03748e+09
2 (EM) 	Elapsed: 10.32	Loglikelihood: -2.07891e+09	(delta): 6.10546e+07
3 (EM) 	Elapsed: 10.193	Loglikelihood: -2.06687e+09	(delta): 1.20398e+07
4 (EM) 	Elapsed: 10.225	Loglikelihood: -2.06026e+09	(delta): 6.61649e+06
5 (EM) 	Elapsed: 10.292	Loglikelihood: -2.05545e+09	(delta): 4.80813e+06
Initial loglikelihood: -2.05545e+09
Starting main algorithm
1 (QN/Block) 	Elapsed: 45.509	Loglikelihood: -1.97429e+09	(delta): 8.11624e+07
2 (QN/Block) 	Elapsed: 45.574	Loglikelihood: -1.95064e+09	(delta): 2.36449e+07
3 (QN/Block) 	Elapsed: 59.509	Loglikelihood: -1.93689e+09	(delta): 1.37502e+07
4 (QN/Block) 	Elapsed: 73.023	Loglikelihood: -1.93387e+09	(delta): 3.01832e+06
5 (QN/Block) 	Elapsed: 79.44	Loglikelihood: -1.93321e+09	(delta): 661900
6 (QN/Block) 	Elapsed: 79.622	Loglikelihood: -1.93289e+09	(delta): 323575
7 (QN/Block) 	Elapsed: 59.534	Loglikelihood: -1.9327e+09	(delta): 183159
8 (QN/Block) 	Elapsed: 66.237	Loglikelihood: -1.93258e+09	(delta): 124496
9 (QN/Block) 	Elapsed: 79.768	Loglikelihood: -1.93247e+09	(delta): 110360
10 (QN/Block) 	Elapsed: 66.568	Loglikelihood: -1.93237e+09	(delta): 95905.7
11 (QN/Block) 	Elapsed: 80.059	Loglikelihood: -1.93227e+09	(delta): 100165
12 (QN/Block) 	Elapsed: 80.067	Loglikelihood: -1.93224e+09	(delta): 34250.4
13 (QN/Block) 	Elapsed: 79.999	Loglikelihood: -1.93222e+09	(delta): 19052.1
14 (QN/Block) 	Elapsed: 79.828	Loglikelihood: -1.9322e+09	(delta): 21454.5
15 (QN/Block) 	Elapsed: 72.945	Loglikelihood: -1.93218e+09	(delta): 21660.2
16 (QN/Block) 	Elapsed: 79.559	Loglikelihood: -1.93215e+09	(delta): 26291.9
17 (QN/Block) 	Elapsed: 59.605	Loglikelihood: -1.93213e+09	(delta): 18078
18 (QN/Block) 	Elapsed: 60.09	Loglikelihood: -1.93211e+09	(delta): 19250.8
19 (QN/Block) 	Elapsed: 59.521	Loglikelihood: -1.93208e+09	(delta): 35765.2
20 (QN/Block) 	Elapsed: 59.513	Loglikelihood: -1.93205e+09	(delta): 24631
21 (QN/Block) 	Elapsed: 59.628	Loglikelihood: -1.93203e+09	(delta): 23811.5
22 (QN/Block) 	Elapsed: 59.578	Loglikelihood: -1.93201e+09	(delta): 17676.2
23 (QN/Block) 	Elapsed: 79.816	Loglikelihood: -1.932e+09	(delta): 11037.6
24 (QN/Block) 	Elapsed: 79.637	Loglikelihood: -1.93199e+09	(delta): 12411.8
25 (QN/Block) 	Elapsed: 79.818	Loglikelihood: -1.93197e+09	(delta): 14341.3
26 (QN/Block) 	Elapsed: 79.661	Loglikelihood: -1.93196e+09	(delta): 16638.8
27 (QN/Block) 	Elapsed: 79.995	Loglikelihood: -1.93194e+09	(delta): 19236.1
28 (QN/Block) 	Elapsed: 79.899	Loglikelihood: -1.93192e+09	(delta): 21949.8
29 (QN/Block) 	Elapsed: 79.856	Loglikelihood: -1.93189e+09	(delta): 24304.7
30 (QN/Block) 	Elapsed: 79.585	Loglikelihood: -1.93187e+09	(delta): 25419
31 (QN/Block) 	Elapsed: 79.373	Loglikelihood: -1.93183e+09	(delta): 37028.6
32 (QN/Block) 	Elapsed: 79.659	Loglikelihood: -1.93181e+09	(delta): 20820.5
33 (QN/Block) 	Elapsed: 79.612	Loglikelihood: -1.93179e+09	(delta): 13964.3
34 (QN/Block) 	Elapsed: 72.676	Loglikelihood: -1.93179e+09	(delta): 5510.6
35 (QN/Block) 	Elapsed: 79.488	Loglikelihood: -1.93178e+09	(delta): 10363.2
36 (QN/Block) 	Elapsed: 79.145	Loglikelihood: -1.93177e+09	(delta): 5718.16
37 (QN/Block) 	Elapsed: 78.99	Loglikelihood: -1.93177e+09	(delta): 2410.85
38 (QN/Block) 	Elapsed: 78.966	Loglikelihood: -1.93177e+09	(delta): 2427.8
39 (QN/Block) 	Elapsed: 79.455	Loglikelihood: -1.93176e+09	(delta): 2476.53
40 (QN/Block) 	Elapsed: 79.187	Loglikelihood: -1.93176e+09	(delta): 2551.64
41 (QN/Block) 	Elapsed: 79.352	Loglikelihood: -1.93176e+09	(delta): 2650
42 (QN/Block) 	Elapsed: 79.037	Loglikelihood: -1.93176e+09	(delta): 2768.29
43 (QN/Block) 	Elapsed: 79.286	Loglikelihood: -1.93175e+09	(delta): 2903.03
44 (QN/Block) 	Elapsed: 79.645	Loglikelihood: -1.93175e+09	(delta): 3044.62
45 (QN/Block) 	Elapsed: 78.735	Loglikelihood: -1.93175e+09	(delta): 3182.31
46 (QN/Block) 	Elapsed: 78.946	Loglikelihood: -1.93174e+09	(delta): 3302.18
47 (QN/Block) 	Elapsed: 78.901	Loglikelihood: -1.93174e+09	(delta): 3389.67
48 (QN/Block) 	Elapsed: 78.736	Loglikelihood: -1.93174e+09	(delta): 3423.2
49 (QN/Block) 	Elapsed: 78.762	Loglikelihood: -1.93173e+09	(delta): 3392.66
50 (QN/Block) 	Elapsed: 78.627	Loglikelihood: -1.93173e+09	(delta): 3298.89
51 (QN/Block) 	Elapsed: 78.622	Loglikelihood: -1.93173e+09	(delta): 3604.55
52 (QN/Block) 	Elapsed: 71.923	Loglikelihood: -1.93172e+09	(delta): 4932.1
53 (QN/Block) 	Elapsed: 78.537	Loglikelihood: -1.93172e+09	(delta): 5073.5
54 (QN/Block) 	Elapsed: 58.395	Loglikelihood: -1.93171e+09	(delta): 5925.63
55 (QN/Block) 	Elapsed: 58.463	Loglikelihood: -1.93171e+09	(delta): 5520.34
56 (QN/Block) 	Elapsed: 58.446	Loglikelihood: -1.9317e+09	(delta): 9455.12
57 (QN/Block) 	Elapsed: 58.458	Loglikelihood: -1.93169e+09	(delta): 8483.3
58 (QN/Block) 	Elapsed: 58.375	Loglikelihood: -1.93168e+09	(delta): 8759.92
59 (QN/Block) 	Elapsed: 58.56	Loglikelihood: -1.93167e+09	(delta): 5234.21
60 (QN/Block) 	Elapsed: 58.7	Loglikelihood: -1.93166e+09	(delta): 15918.1
61 (QN/Block) 	Elapsed: 58.342	Loglikelihood: -1.93165e+09	(delta): 11381.6
62 (QN/Block) 	Elapsed: 58.482	Loglikelihood: -1.93164e+09	(delta): 7242.84
63 (QN/Block) 	Elapsed: 58.384	Loglikelihood: -1.93163e+09	(delta): 10290.5
64 (QN/Block) 	Elapsed: 78.639	Loglikelihood: -1.93163e+09	(delta): 2592.46
65 (QN/Block) 	Elapsed: 78.596	Loglikelihood: -1.93162e+09	(delta): 3703.36
66 (QN/Block) 	Elapsed: 78.661	Loglikelihood: -1.93162e+09	(delta): 2987.09
67 (QN/Block) 	Elapsed: 78.687	Loglikelihood: -1.93162e+09	(delta): 1396.32
68 (QN/Block) 	Elapsed: 65.25	Loglikelihood: -1.93162e+09	(delta): 1357.49
69 (QN/Block) 	Elapsed: 58.478	Loglikelihood: -1.93162e+09	(delta): 790.85
70 (QN/Block) 	Elapsed: 58.478	Loglikelihood: -1.93161e+09	(delta): 2270.89
71 (QN/Block) 	Elapsed: 58.602	Loglikelihood: -1.93161e+09	(delta): 2621.13
72 (QN/Block) 	Elapsed: 58.496	Loglikelihood: -1.93161e+09	(delta): 1948.25
73 (QN/Block) 	Elapsed: 58.509	Loglikelihood: -1.93161e+09	(delta): 497.102
74 (QN/Block) 	Elapsed: 58.611	Loglikelihood: -1.93161e+09	(delta): 2450.55
75 (QN/Block) 	Elapsed: 58.471	Loglikelihood: -1.93161e+09	(delta): 1382.24
76 (QN/Block) 	Elapsed: 58.608	Loglikelihood: -1.9316e+09	(delta): 1682.9
77 (QN/Block) 	Elapsed: 58.53	Loglikelihood: -1.9316e+09	(delta): 533.753
78 (QN/Block) 	Elapsed: 58.437	Loglikelihood: -1.9316e+09	(delta): 2111.68
79 (QN/Block) 	Elapsed: 58.589	Loglikelihood: -1.9316e+09	(delta): 1524.53
80 (QN/Block) 	Elapsed: 58.568	Loglikelihood: -1.9316e+09	(delta): 2139.91
81 (QN/Block) 	Elapsed: 58.485	Loglikelihood: -1.9316e+09	(delta): 571.311
82 (QN/Block) 	Elapsed: 58.558	Loglikelihood: -1.93159e+09	(delta): 2510.96
83 (QN/Block) 	Elapsed: 58.559	Loglikelihood: -1.93159e+09	(delta): 1301.2
84 (QN/Block) 	Elapsed: 58.467	Loglikelihood: -1.93159e+09	(delta): 1692.37
85 (QN/Block) 	Elapsed: 58.566	Loglikelihood: -1.93159e+09	(delta): 644.989
86 (QN/Block) 	Elapsed: 58.581	Loglikelihood: -1.93159e+09	(delta): 1945.93
87 (QN/Block) 	Elapsed: 58.518	Loglikelihood: -1.93159e+09	(delta): 1290.25
88 (QN/Block) 	Elapsed: 58.607	Loglikelihood: -1.93159e+09	(delta): 2063.52
89 (QN/Block) 	Elapsed: 58.364	Loglikelihood: -1.93158e+09	(delta): 666.254
90 (QN/Block) 	Elapsed: 58.59	Loglikelihood: -1.93158e+09	(delta): 2737.28
91 (QN/Block) 	Elapsed: 58.532	Loglikelihood: -1.93158e+09	(delta): 1478.31
92 (QN/Block) 	Elapsed: 58.425	Loglikelihood: -1.93158e+09	(delta): 2110.69
93 (QN/Block) 	Elapsed: 58.606	Loglikelihood: -1.93158e+09	(delta): 639.698
94 (QN/Block) 	Elapsed: 58.586	Loglikelihood: -1.93157e+09	(delta): 3148.59
95 (QN/Block) 	Elapsed: 58.441	Loglikelihood: -1.93157e+09	(delta): 2145.34
96 (QN/Block) 	Elapsed: 58.476	Loglikelihood: -1.93157e+09	(delta): 2442.11
97 (QN/Block) 	Elapsed: 58.62	Loglikelihood: -1.93157e+09	(delta): 613.144
98 (QN/Block) 	Elapsed: 58.537	Loglikelihood: -1.93157e+09	(delta): 3921.2
99 (QN/Block) 	Elapsed: 58.537	Loglikelihood: -1.93156e+09	(delta): 1838.71
